_id,id,idanalista,atribuicao,status,validacao,status_val,obs,area_km2,data_inicial,data_entrega,idprojeto,geom,st_astext,data_inicio
662b05b5d0af6c1d441d2215,1887,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2024-04-19,2024-04-26,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F63995C41EC75119692EE1E4148171F7F63995C41EC75119692EE1E4148171F7FFF985C41EC751196A2E31E4148171F7FFF985C41EC751196A2E31E4148171F7F63995C41,,
662b05b5d0af6c1d441d2212,1884,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-09-22,2023-09-29,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F37985C41EC75119692EE1E4148171F7F37985C41EC75119692EE1E4148171F7FD3975C41EC751196A2E31E4148171F7FD3975C41EC751196A2E31E4148171F7F37985C41,,
662b05b5d0af6c1d441d2218,1890,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-01-27,2023-02-03,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F6F975C41EC75119692EE1E4148171F7F6F975C41EC75119692EE1E4148171F7F0B975C41EC751196A2E31E4148171F7F0B975C41EC751196A2E31E4148171F7F6F975C41,,
662b05b5d0af6c1d441d221a,1892,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-01-12,2023-01-19,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F779E5C41EC75119692EE1E4148171F7F779E5C41EC75119692EE1E4148171F7F139E5C41EC751196A2E31E4148171F7F139E5C41EC751196A2E31E4148171F7F779E5C41,,
662b05b5d0af6c1d441d2216,1888,1,analista 3,finalizado,NULL,NULL,NULL,0.074171863,2023-07-07,2023-07-14,1,0106000020EF7C0000010000000103000000010000000E0000007A29645C6FEB1E413A224B639A965C4174694C6BDFEA1E417EC1478091965C41F662967EF9E91E4138FA81858A965C419F50EBD22DE81E41CD4AEA6785965C41569AE5072CE71E411ED91D6E7D965C41FC6294089BE61E4144F599B380965C417DFE4ADBBEE51E41C2F2302680965C41A63A0808B2E41E41CA3FEA4A74965C41B745D79F3CE41E41DA4303DF71965C4124F39F70A9E31E41140E8B7572965C41EC751196A2E31E41E5FA9BC172965C41EC751196A2E31E4148171F7FA7965C418E067C6AAEEB1E4148171F7FA7965C417A29645C6FEB1E413A224B639A965C41,,
662b05b5d0af6c1d441d2217,1889,1,analista 3,finalizado,NULL,NULL,NULL,0.260526386,2023-11-10,2023-11-17,1,0106000020EF7C00000100000001030000000100000009000000F8B7660D74EE1E413C50547CD5965C416A1FAABFFCED1E41A0BD8D56CA965C417895F538F4EB1E4108904402B6965C418E067C6AAEEB1E4148171F7FA7965C41EC751196A2E31E4148171F7FA7965C41EC751196A2E31E4148171F7F0B975C41EC75119692EE1E4148171F7F0B975C41EC75119692EE1E41FBCB4F51DC965C41F8B7660D74EE1E413C50547CD5965C41,,
662b05b5d0af6c1d441d221c,1894,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-07-17,2023-07-24,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F3F9F5C41EC75119692EE1E4148171F7F3F9F5C41EC75119692EE1E4148171F7FDB9E5C41EC751196A2E31E4148171F7FDB9E5C41EC751196A2E31E4148171F7F3F9F5C41,,
662b05b5d0af6c1d441d221f,1897,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-12-17,2023-12-24,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F4B9D5C41EC75119692EE1E4148171F7F4B9D5C41EC75119692EE1E4148171F7FE79C5C41EC751196A2E31E4148171F7FE79C5C41EC751196A2E31E4148171F7F4B9D5C41,,
662b05b5d0af6c1d441d2222,1900,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-06-25,2023-07-02,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7F579B5C41EC75119692EE1E4148171F7F579B5C41EC75119692EE1E4148171F7FF39A5C41EC751196A2E31E4148171F7FF39A5C41EC751196A2E31E4148171F7F579B5C41,,
662b05b5d0af6c1d441d2223,1901,1,analista 3,finalizado,NULL,NULL,NULL,0.280223847,2023-02-12,2023-02-19,1,0106000020EF7C00000100000001030000000100000005000000EC751196A2E31E4148171F7FBB9B5C41EC75119692EE1E4148171F7FBB9B5C41EC75119692EE1E4148171F7F579B5C41EC751196A2E31E4148171F7F579B5C41EC751196A2E31E4148171F7FBB9B5C41,,
